ID,MASS,TYPE,NAME,ENGINE,LAUNCH,LENGTH,ORIGIN,WEIGHT,WARHEAD,DESIGNED,DIAMETER,GUIDANCE,PROPELLANT
867,1410 kg,Anti-surface ship torpedo,F17 torpedo,"Electric, ilver-zinc oxide batterie",SHIP,5.9m (19.4ft),France,,HE: 250kg (551 lbs),,550 mm (21.65 in),wire-guided and passive terminal homing,
875,192 kg [1],Short-range air-to-air missile,R.530,"Two-tage olid rocket,[1] Hotchki-Brandt/SNPE Antoinette rocket [2]83.3 kN for 2.7  + 6.5  cruie[2]",Dassault Mirage F1 Dassault Mirage III[1]F-8 Crusader,3.28 m [1],France, 27.2 kg [1], 27.2 kg [1],,263 mm [1],Semi active radar homing and infrared homing[3],
267,"1,300 kg (2,900 lb)",Air-launched cruise missile,Storm Shadow,"Microturbo TRI 60-30 turbojet5.4 kN (1,200 lbf)",,5.1 m (16 ft 9 in),France & United Kingdom, 450 kilograms (990 lb), 450 kilograms (990 lb),1994–2001,,"GPS, INS, IIR & TERPROM",
177,24.5 kg,Anti-tank missile,HOT (missile),Two-tage olid fuel rocket,Launch weight kg," m
",France / West Germany,Launch  kg," kg
",," mm
",SACLOS,
283,16.4 kg[6],Anti-tank missile,MILAN,olid-fuel rocket,"Individual, vehicle",1.2 m (3 ft 11 in),"France, West Germany",,Single or tandem HEAT,1970s,0.115 m (4.5 in),SACLOS wire,
117,Aster 15: 310 kg[1]Aster 30: 450 kg[1],Surface-to-air/anti-ballistic missile,Aster (missile family),"Solid propellant, two-tage motor[1]",,Aster 15: 4.2 m[1]Aster 30: 4.9 m[1],France/Italy,,15 kg focused fragmented warhead with 2 m lethal radius,,Aster 15 & 30: 180 mm (7.1 in)[1],,
111,600 kg/630 kg,"Medium-range, active radar homing air-to-surface missile",AS.34 Kormoran,olid-propellant rocket motor,Aircraft:,4.40 m,Germany,,165 kg/220 kg,,344 mm,INS/active radar,
245,28 kg,Surface-to-air missile,LFK NG,,,1.8 m,Germany,,,,,Infrared homing,
309,49 kilograms (108 lb)[2],Air-to-surface missileAir-to-air missileSurface-to-surface missileAnti-tank guided missile,PARS 3 LR,olid fuel rocket,Helicopter,"1,600 millimetres (63 in)[2]",Germany,,"9 kg (19.84 lb) tandem HEAT 1,000+ mm RHA penetration after ERA from TDW",1988–2011[1],159 millimetres (6.3 in)[2],Target acquisition: passive IR and television CCD sensors in a mast mounted on launching helicopterMissile guidance: passive IR CCD sensors in the missile,
686,"1,419 kilograms (3,128 lb)",Torpedo,SUT torpedo,Electrical batterie,,,Germany, 259 kilograms (571 lb), 259 kilograms (571 lb),,533 mm,Wire-guided with autonomous active terminal homing sonar,
868,1530 kg[1],Torpedo,DM2A4,Electric; ilver-zinc oxide batterie or lithium ion batterie (for exercie)[1],submarine,6.6 m (22 ft),Germany, 260 kg, 260 kg,,533mm,"Wire-guided to autonomous (active and passive sonar, wake homing)[1]",
227,,Submarine-launched Surface-to-air missileAnti-ship missileLand-attack missile,IDAS (missile),olid-fuel rocket,,"2,936 mm (115.6 in)",Germany / Norway / Turkey[1],,HE/Fragmentation,,127 mm (5.0 in),fibre-optic guided,
448,"1,400 kg (3,100 lb)[2]","Air-launched cruise missile, Land-attack missile, Anti-ship missile",Taurus KEPD 350,William WJ38-15 turbofan,"Integrated: Tornado, F/A-18, F-15K(Tested: Gripen, Typhoon)[7]",5.1 m (16 ft 9 in),Germany and Sweden,,"481 kg (1,060 lb)[3] MEPHISTO (multi-effect penetrator highly sophisticated and target optimised)[4]",1998–2005,1.080 m (42.5 in),"IBN (image-based navigation), INS (inertial navigation system), TRN (terrain-referenced navigation) and MIL-GPS (Global Positioning System)",
361,"5,777 kg (12,736 lb) (launcher)73.5 kilograms (162 lb 1 oz) (missile)",Close-in weapon system,RIM-116 Rolling Airframe Missile,Hercule/Bermite Mk. 36 Solid-fuel rocket,XM501 Non-Line-of-Sight Launch System,2.79 m (9 ft 2 in) (missile),Germany and United States,Mark 54 Light Torpedo, 11.3 kg (24 lb 15 oz),1976,,Three modes:,Solid
338,"209,600 kg (462,100 lb)",Intercontinental ballistic missile,R-36 (missile),,Launch weight:,:,In service1966–1979 (original variant)1988–present (R-36M2 Voevoda variant),Launch :," yield:
",From 1962,:,"Inertial, autonomous",N2O4/UDMH
75,"12,000 kg[4][5][6]"," 53
",Agni-I,,8 x 8 Tatra transporter erector launcher/rail mobile[10],15 m[4][5][6],India," 1,000 kg (2,200 lb) - 2,500 kg (5,500 lb)[7]"," 1,000 kg (2,200 lb) - 2,500 kg (5,500 lb)[7]",,1.0 m[5][6],Mid-course: Ring laser gyro inertial navigation system. Optionally augmented by GPS/NavIC satellite guidance Terminal: Radar scene correlation,Solid fuel
76,"16,000 kg (35,000 lb)"," 53
",Agni-II,,Ashok Leyland/Tata transporter erector launcher,21 m[4],India," 1,000 kg (2,200 lb)[5]"," 1,000 kg (2,200 lb)[5]",,1.3 m,Mid-course: Ring laser gyro inertial navigation system. Optionally augmented by GPS/NavIC satellite guidance Terminal: Radar scene correlation. Upgraded to active radar homing.,Solid fuel
77,"50,000 kg[3]"," 53
",Agni-III,,8 × 8 transporter erector launcherRail mobile launcher,17 m[4],India,,"Conventional, thermobaric, nuclear",,2.0 m[4],"Mid-course: Ring laser gyroscope inertial navigation system, optionally augmented by GPS/NavIC satellite guidanceTerminal: Imaging infrared homing, radar scene correlation, active radar homing[9]",Hydroxyl-terminated polybutadiene[5]
78,"17,000 kilograms (37,000 lb)[2]"," 53
",Agni-IV,,8 × 8 transporter erector launcher/Rail Mobile Launcher,20 metres (66 ft)[2],India,,"Conventional, thermobaric, strategic nuclear weapon",,,Ring laser gyro inertial navigation system with redundant micro inertial navigation and digital control system[6],Solid fuel
79,50000–56000 kg[6]," 53
",Agni-V,,8 × 8 Tatra TEL and rail mobile launcher (canisterised missile package) [18],17.5 m[7],India," 2,500–3,000 kilograms (5,500–6,600 lb)[8]"," 2,500–3,000 kilograms (5,500–6,600 lb)[8]",,2 metres (6 ft 7 in),Ring laser gyroscope inertial navigation system. Optionally augmented by GPS/NavIC satellite guidance.,Solid fuel
80,"55,000[1] - 70,000 kg[2][3]"," 53
",Agni-VI,,,20[2][3] - 40.00 m[1],India, 3 tonnes[4], 3 tonnes[4],,2 m[2],,
81,"11,000 kg (24,000 lb)"," 53
",Agni-P,,Mobile rail-launcherTransporter erector launcher[3],10.5 m (34 ft 5 in),India," 1,500 kg (3,300 lb) – 3,000 kg (6,600 lb)"," 1,500 kg (3,300 lb) – 3,000 kg (6,600 lb)",,1.15 m (3 ft 9 in),Ring laser gyro inertial navigation system with redundant micro inertial navigation and digital control system. Optionally augmented by GPS/NavIC satellite guidance.[4],Solid fuel
97,"720 kg (1,590 lb)"," 53
",Akash (missile),,T-72 or BMP-2 chassis or Tata Motors Heavy Mobility Trucks[5],578 cm (228 in),India, 60 kg (130 lb), 60 kg (130 lb),,30 cm (12 in) - 35 cm (14 in),Mid-course: Command guidance with datalink Terminal: Active radar homing,Solid fuel
98,," 53
",Akash-NG,,,,India,,Fragmentation,2021,,Mid-course: Inertial navigation system with two way datalink Terminal: Active radar homing,Solid fuel
297,43 kg (95 lb)," 53
",Nag (missile),,NAMICAHAL RudraHAL PrachandMil Mi-24,1.85 m (6 ft 1 in),India, 8 kg, 8 kg,,0.20 m (7.9 in),Mid-course: Charge-coupled device with area correlation and two-way datalinkTerminal:,Nitramine smokeless extruded double base
298,"1,500 kilograms (3,300 lb)[3]"," 53
",Nirbhay,,Land-based mobile launcher,6 m (20 ft),India, 200-300 kg, 200-300 kg,,0.52 m (1.7 ft),"Mid-course: Ring laser gyro inertial navigation system and MEMS gyroscope. Augmented by GPS/NavIC satellite guidance Terminal: Active radar homing, electro-optical, imaging infrared[12][4]",First stage: Solid fuel Second stage: Liquid fuel
235,17 t (19 short tons)[2]," 53
",K-4 (missile),Two tage olid rocket motor[4],Arihant class submarines,12 m (39 ft)[2],India," 2,500 kg (5,500 lb)[3]"," 2,500 kg (5,500 lb)[3]",,1.3 m (4.3 ft)[2],"Mid-course: Inertial navigation system with GPS/NavIC satellite guidance, Terminal: Terrain contour matching[7]",Solid rocket propellant[4]
118,154 kg (340 lb)," 53
",Astra (missile),,,3.84 m (12.6 ft),India, 15 kg (33 lb), 15 kg (33 lb),,178 mm (7.0 in),Mid-course: Fibre-optic gyro based inertial navigation system with mid-course update via datalink. Terminal: Active radar homing,Solid fuel
454,130 kg (290 lb)," 53
",Trishul (missile),,,3 m (9.8 ft),India, 15 kg (33 lb)[1], 15 kg (33 lb)[1],,200 cm (79 in),Command to line-of-sight,Solid fuel
466,170 kg (370 lb)," 53
",VL-SRSAM,,Surface Ship,3.93 m (12.9 ft),India,,High-explosive pre-fragmented HMX/PU[1],,178 mm (7.0 in),Mid-course: Fibre-optic gyro based inertial navigation system with mid-course update via datalink. Terminal: Active radar homing,Solid fuel
308,18.87 t," 53
",Indian Ballistic Missile Defence Programme,,Launch market competition,13.2 metres (43 ft),India, 80 kg (180 lb)[39], 80 kg (180 lb)[39],,1.4 metres (4.6 ft),"Mid-course: Ring laser gyro based inertial navigation system and redundant micro navigation system, Terminal: Imaging infrared homing",Solid fuel
319,"1,280 kg (2,820 lb)"," 53
",Prahaar (missile),,Tatra-BEML/Tata TEL[7],7.32 m (24 ft 0 in),India, 250 kg[2], 250 kg[2],,0.42 m (1 ft 5 in),Mid-course: Fibre-optic gyro inertial navigation system. Augmented by GPS/NavIC satellite guidance Terminal: Active radar homing[5],Solid fuel
325,270 kg (600 lb)," 53
",QRSAM,,6 tube launcher mounted on 8 x 8 Ashok Leyland or Tata Motors heavy mobility vehicles[4],4.33 m (14.2 ft),India, 32 kg (71 lb)[1], 32 kg (71 lb)[1],,0.22 m (0.72 ft),Mid-course: Inertial navigation system with two way datalink Terminal: Active radar homing,Solid fuel
376,"Rudram-1 : 600 kg (1,300 lb)[3]"," 53
",Rudram (missile),,MiG-29UPGDassault Mirage 2000SEPECAT JaguarSu-30MKITejas Mk.1/1AHAL Tejas Mk2 (Planned)AMCA (Planned)TEDBF (Planned),5.5 m (18 ft),India, , ,2012–present,,,Solid fuel
422,6.2 t (6.8 short tons)[1]," 53
",Shaurya (missile),,Canisterised transporter erector launcher or underground silo[1],10 m (33 ft)[1][2],India," 200–1,000 kilograms (440–2,200 lb)"," 200–1,000 kilograms (440–2,200 lb)",,0.74 m (2.4 ft)[1],Ring laser gyro inertial navigation system and accelerometer,Solid fuel
671,5 tonnes (4.9 long tons; 5.5 short tons)[1]," 53
",Pralay (missile),,8 x 8 BEML-Tatra transporter erector launcher,"> 7,5 - 11 m",India," 500 kg (1,100 lb) - 1,000 kg (2,200 lb)"," 500 kg (1,100 lb) - 1,000 kg (2,200 lb)",,"> 420 mm , within 750 mm",Inertial navigation system[1],Solid
672,," 53
",K-5 (ballistic missile),,"Arihant-class submarines , S5-class submarines[1][2]",,India,,"2,000 kg (4,400 lb) nuclear war-head[2]",,,,
673,," 53
",K-6 (missile),,S5-class submarine,>12 m (39 ft),India,,"3,000 kg (6,600 lb) MIRVed nuclear war-head",,>2 m (6.6 ft),,
677,," 53
",Amogha missile,,,,India,,,,,,
683,Missile: 14.50 kg (32.0 lb)CLU: 14.25 kg (31.4 lb)[1]," 53
",MPATGM,,"Launch tube, tripod-mount","1,300 mm (4 ft 3 in)[1]",India,,Tandem-charge HEAT,2015,120 mm (4.7 in)[1],Imaging infrared homing,Solid fuel
685,220 kg (490 lb)," 53
",Torpedo Advanced Light Shyena,,"Ships, submarines, helicopters",2.75 m (9.0 ft),India, 50 kg (110 lb), 50 kg (110 lb),,324 mm (12.8 in),Acoustic homing (active/passive),
696,450 kg (990 lb)," 53
",Sudarshan laser-guided bomb,,,,India,,,2006,,Beam riding,
700,125 kg (276 lb),Precision-guided Anti-Airfield glide bomb,DRDO Smart Anti-Airfield Weapon,,,,India, 80 kg[3], 80 kg[3],,,Mid-course: Inertial navigation system with GPS/NavIC satellite guidance Terminal: Imaging infrared homing,
132,275 kg (606 lb)[4] (w/out booster),Medium to long-range surface-to-air missile,Barak 8,,,4.5 m (180 in)[4] (w/out booster),India  Israel,,60 kg[4],,,Infrared Homing Guidance[citation needed],
145,"BrahMos: 3,000 kg (6,600 lb)BrahMos-A: 2,500 kg (5,500 lb)BrahMos-NG: 1,200–1,500 kg (2,600–3,300 lb)"," 53
",BrahMos,,ER Version of BrahMos Air Launched missile against a Ship Target,BrahMos: 8.4 m (28 ft)BrahMos-NG: 6 m (20 ft),India Russia,,200–300 kg (440–660 lb) nuclear conventional semi-armour-piercing warhead[2],,BrahMos: 0.6 m (2.0 ft)BrahMos-NG: 0.5 m (1.6 ft),Mid-course: INS + SatNavTerminal: Active radar homing[10][11],1st Stage: Solid fuel 2nd Stage: Liquid fuel
674,," 53
",BrahMos-II,,"Ship, submarine, aircraft and land-based mobile launchers.",,IndiaRussia,,,,,,
784,,Cruise missile,Hoveyzeh (cruise missile),,Multiple Launch Rocket System,,Iran,,,,,Inertial navigation system,Turbo-jet engine
785,," 69 RPG
",Soumar (missile),,,,Iran,,,,,,
786,," 69 RPG
",Ya-Ali (missile),turbojet,Aircraft,,Iran,,,,,,
789,," 69 RPG
",Valfajr (torpedo),,Submarine[1],,Iran, 220/300 kg, 220/300 kg,2011,533 mm,,
796,," 69 RPG
",Fatter,,Aircraft,,Iran,,,,127 mm,Infrared homing,solid rocket fuel
712,,Rocket artillery,Arash (rocket),,,,Iran,,,,,,
715,"15,000 kg (launcher) 45 kg (HE content) 90 kg (warhead) 407 kg (rocket)",Rocket artillery,Fajr-3,"280 hp, V-8 liquid-cooled, dieel engine[4]",,"10 m (launcher)[2] 5,200 mm (rocket)",Iran,,,,240mm,,
718,"15,000 kg (launcher, empty)[2] 90 kg (HE content) 175 kg (warhead) 915 kg (rocket)[3]",Rocket artillery,Fajr-5,,,10.00 m (launcher)[a]6.485 m (rocket)[2],Iran,,,,,,
722,Shahin-1:384 kg[3]Shahin-2:530 kg[3],Rocket artillery[1][2][3],Shahin (rocket),,unarmored rail launcher[3],Shahin-1:2.9 m[3]Shahin-2:3.9 m[3],Iran,,,,333 mm[1],"Unguided, ballistic flight[3]",solid propelled[3]
724,,Artillery rocket,Zelzal-1,Solid,Transporter erector launcher,,Iran,,One,,,,
729,,Surface-to-surface missile,Badr-3,,,,Iran, 250-400 kg, 250-400 kg,,,,
731,1750 kg," 69 RPG
",Raad-500 (missile),Zohair,,,Iran,,,,,,
732,," 69 RPG
",Zolfaghar (missile),,,10.3 m[1],Iran,,,,,"INS, GPS[2]",Single-stage Solid-propelled[1]
733,," 69 RPG
",Fateh Mobin,,,9 m[3],Iran,,,,,"Terminal guidance, Infrared homing[1]",Single-stage solid-propelled[1]
735,," 69 RPG
",Hormuz-2 (missile),,TEL[1],,Iran,,,,,Terminal guidance(Active or Passive)[1],Solid fuel
736,," 69 RPG
",Samen (missile),,,9.0 m[1],Iran,,,2008-09-21,1.0-1.25 m[1],,solid propellant[1]
738,19/5 tons," 69 RPG
",Khorramshahr (missile),liquid fuel rocket,mobile,13 m,Iran,,,,1.5 m,,
741,"7 tonnes (15,000 lb)"," 69 RPG
",Haj Qasem (missile),,,11 metres (36 ft),Iran," 500 kilograms (1,100 lb)"," 500 kilograms (1,100 lb)",,,,
746,,SAM system,Khordad 15 (air defense system),,,,Iran,,,,,,
747,16.9 kg,MANPADS,Misagh-1,olid rocket motor,Man portable,1.477 m,Iran,,1.42 kg,,0.71 m,Passive infrared homing,
748,12.74 kg,MANPADS,Misagh-2,olid rocket motor,Man portable,~1.5 m,Iran,,1.42 kg HE,,Unknown,IR Fire and Forget,
749,17 kg (37 lb),MANPADS,Misagh-3,olid rocket motor,Man portable,~1.5 m (4 ft),Iran,,1.5 kg (3.3 lb) FRAG-HE,,,Infrared homing,
750,,Long-range Surface-to-air missile system,Talaash air defense system,,,,Iran,,,2013,,,
751,," 69 RPG
",Sayyad (missile),,,,Iran,,Frag-HE,2011 or earlier[1],,,Solid fuel
752,85 kg," 69 RPG
",Herz-9,olid rocket,,2.93 m,Iran,,,2013,,,
753,," 69 RPG
",Taer 2,,Ra'ad,,Iran,,Frag-HE,21 September 2012,,Active radar homing[1],Solid propellant
754,," 69 RPG
",Mehrab (missile),,ships,,Iran,,Frag-HE,,,,Solid fuel
755,Shalamche: 636 kg,Air defense system,Mersad,Solid propellant rocket engine,,,Iran,,,,Shalamche: 356 mm,Semi-active radar homing,
757,,Surface-to-air missile,Shalamcheh (missile),olid fuel rocket,,,Iran,,blast fragmentation warhead,4 September 2011,,,
758,,Mobile long range surface-to-air missile/anti-ballistic missile system,Bavar-373,,,,Iran,,,2010–2019[1][failed verification],,,
759,,Air defense system,Raad (air defense system),Solid Fuel Rocket,Zolfaghar Wheeled TEL,,Iran,,,2012,,,
760,,"Light, mobile air defense system",Ya Zahra air defense system,,,,Iran,,,,,,Solid
761,," 69 RPG
",Tabas (air defense system),IVECO dieel[1],,,Iran,,,,,,
762,," 69 RPG
",Sevom Khordad,IVECO dieel[1],,,Iran,,,,,,
763,," 69 RPG
",Kamin-2,,,,Iran,,,,,,
765,10.9 kg (RAAD/I-RAAD) 23 kg (guidance System),Anti-tank missile,RAAD (anti-tank guided missile),,,83 cm (RAAD/I-RAAD)98 cm (RAAD-T/I-RAAD-T),Iran,,HEAT,,,MCLOS or SACLOS,
766,Anti-helicopter variant with laser guidance and secondary flight motor.[citation needed]  production began in 2010.[61],Anti-tank missile,Toophan,,,,Iran, 3.6 kg, 3.6 kg,Early to mid 1980s,0.152 m,Wire-guidance. Laser guidance for some variants,
767,5.25 kg," 69 RPG
",Tosan (missile),,,130 cm,Iran,,,1991,135 mm,,
768,,Anti-tank missile,Dehlavieh (missile),,,,Iran,,,"July 7, 2012",,Laser,
771,,Anti-ship cruise missile,Zafar (anti-ship missile),turbojet,,,Iran,,HE,,,Active radar,
772,,Anti-ship Cruise missile[1],Ghadir (missile),,"Multiple naval vessels, helicopters[1]",,Iran,,,,,,
773,,Anti-ship cruise missile,Ghader (missile),turbojet,,,Iran,,200 kilograms (440 lb) HE,,,,
775,," 69 RPG
",Nasr-e Basir,,,,Iran,,,,,Fire and forget[citation needed],
777,350 kg,Anti ship missile,Nasr-1,Solid rocket engine,,3.5 m,Iran,,150 kg time-delayed semi-armour-piercing high-explosive,,0.28 m,"TV-homing, millimetre radar",
778,3000 kg," 69 RPG
",Ra'ad (anti-ship missile),Solid-propellant booter,Mobile Ground and Sea Launch-able,7.36 metres,Iran, 450-550 kg, 450-550 kg,,0.76 metres,,Turbo-jet engine
779,,SLCM[1][2][3][4][5][6][7],Jask-2,,"Ghadir-class submarine,[2] Fateh-class submarine",>10 ft (3.0 m)[2],Iran,,,2012-2019,,,
717,," 69 RPG
",Fajr-4,,Sukhoi Su-22[1][2],,Iran[1][2],,,May 2014[2],333 mm[1][2],Onboard guidance[1],
728,,Artillery rocket,Haseb (rocket),,12-tube MLRS[1],,Iran[1][2],,,,107 mm[1][2],,
769,,Anti-tank missile,Tondar (missile),,,,Iran[1][2][3],,,,,,
756,,surface-to-air missile,Shahin (surface-to-air missile),,Mersad[3],,Iran[1][2][3][4],,,,,,solid fuel
734,," 69 RPG
",Hormuz-1 (missile),,TEL[1],,Iran[2][3][4],,,,,Terminal guidance (Active or Passive)[1],
780,"1,650 kg (3,640 lb) with booster"," 69 RPG
",Abu Mahdi (missile),Toloue turbojet,"fixed and mobile ground launchers, ships, aircraft[9]",6 m (20 ft),Iran[2][3][4][5], 410 kg (900 lb), 410 kg (900 lb),,0.55 m (1.8 ft),"Satnav/INS, active and passive radar",
66,"1,360 kg (3,000 lb)",Air-to-surface missileSLCM,Popeye (missile),Single-tage Solid-fuel rocket,"Fixed-wing aircraft, Dolphin class submarine (Popeye Turbo SLCM)",4.82 m (15 ft 10 in),Israel,,340 kg (750 lb) blast fragmentation or 360 kg (790 lb) I-800 penetrating,,533 mm (20 in),Inertial plus IIR or TV,
178,Spike-ER from helicopter:,Anti-tank guided missile,Spike (missile),Solid-propellant rocket,Launcher + 4 missiles: 187 kg (412 lb 4 oz),,Israel,,Tandem-charge HEAT warhead,Late 1970s (Spike NLOS),,"Infrared homing – Electro-optical (CCD, imaging infrared (IIR), or dual CCD/IIR), passive CCD, or dual CCD/IIR seeker",
190,"Mark I: 430 kg (950 lb)Mark II: 522 kg (1,151 lb)Mark III: 560 kg (1,230 lb)Mark III A/S: 590 kg (1,300 lb)Mark IV: 960 kg (2,120 lb)Mark V: 1,250 kg (2,760 lb)",Anti-ship missile,Gabriel (missile),,,Mark I: 3.35 m (11.0 ft)Mark II: 3.36 m (11.0 ft)Mark III: 3.75 m (12.3 ft)Mark III A/S: 3.78 m (12.4 ft)Mark IV: 4.7 m (15 ft)Mark V: 5.5 m (18 ft),Israel,,Mark II: 100 kg (220 lb)Mark III / IIIA/S: 150 kg (330 lb)Mark IV: 240 kg (530 lb),,Mark I/ II /III / IIIA/S: 330 mm (13 in)Mark IV: 440 mm (17 in),Mark I / II:Semi-Active Radar Mark III / IIIA/S / IV: Active Radar,
123,98 kg (216 lb)[1],Short range surface-to-air missile,Barak 1,,Surface Ship,2.1 m (6.9 ft)[1],Israel,,22 kg (49 lb)[1] blast fragmentation warhead,,170 mm (6.7 in)[1],Radar CLOS guidance,
322,103.6 kilograms (228 pounds 6 ounces),Short-range air-to-air missile,Python (missile),olid fuel rocket motor,Aircraft:,3.1 metres (10 feet),Israel,,11 kg (24 lb 4 oz),,160 millimetres (6.3 inches),"infrared homing + 320×240 pixel dual waveband electro-optical imaging seeker, lock on after launch, with infrared counter-counter-measures (IRCCM)",
681,13 kg (28.7 lb)[2],ATGM,LAHAT,,105–120 mm smoothborerotary-wing aircraft,975 mm (38.4 in),Israel, 4.5 kg (9.9 lb), 4.5 kg (9.9 lb),,105 mm (4.1 in)[2],Semi-active laser homing[2],
703,105 kg (231 lb) (Python-5)118 kg (260 lb) (Derby),Short and medium range air defence system,SPYDER,,Tatra 817 truckMercedes-Benz Actros truck RMMV HX truckMAN TGS truckScania P-series truckDongfeng truckTELAR,3.1 m (10 ft 2 in) (Python-5)3.62 m (11 ft 11 in) (Derby),Israel,,11 kg (24 lb) (Python-5)23 kg (51 lb) (Derby),,160 mm (6.3 in) (both),Infrared homing and electro-optical imaging (Python-5)Active radar homing (Derby),
107,,Anti-ballistic missile,Arrow (missile family),Two-tage[7][8],Six canisters per trailer-mounted erector–launcher[7][8],6.8 m (22 ft)[6] – 7 m (23 ft)[7][4],Israel[1], 150 kg (330 lb)[9], 150 kg (330 lb)[9],1994–present,By stage:,Dual mode: passive infrared seeker and active radar seeker[7][8],Solid propellant[7][8]
115,220 kg,Medium range  Surface to air missile/ Air to air missile,Aspide,,,3.72 m,Italy,,35 kg warhead,,234 mm,,
687,254 kg (560 lb),Lightweight torpedo,A244-S,contra-rotating direct-drive bruhle electric motor,Vessel / aircraft / helicopter,2.75 m (9.0 ft),Italy, 45 kg (99 lb), 45 kg (99 lb),,324 mm (12.8 in),active / passive acoustic homing,AgCl-Mg battery
229,87.4 kg (193 lb),Short-range air-to-air missile,IRIS-T,Solid-fuel rocket,"Typhoon, Tornado, F-4 AUP, F-5 Super Tigris, F-16V, EF-18, NASAMS, Gripen, M-346.",2.94 m (9.6 ft)[5],"Italy, Germany, Sweden, Greece, Norway, Spain",,HE/fragmentation,,127 mm (5.0 in),Infrared homing / radar homing (IRIS-T SLX),
304,"800 kg (1,764 lb)[13]",Anti-submarine missile,Otoma,Turbojet engine,Container launcher,6.0 m (19.7 ft)[13],Italy/France,,MU90 torpedo,,460 mm (18.1 in)[13],"Inertial guidance, GPS and active radar homing",
112,"600 kg (1,323 lb)"," 07
",Type 80 Air-to-Ship Missile,olid rocket,Air,4.0 m (13.1 ft),Japan, 150 kg (331 lb), 150 kg (331 lb),,335 mm (13.2 in),Inertial guidance and terminal active radar homing,Single stage solid propellent Rocket motor
18,95 kg (209 lb)," 07
",AAM-5 (Japanese missile),,,3.105 m (10.19 ft),Japan,,blast-frag,,130 mm (5.1 in),(Infrared homing (IIR) INS+COLOS) (B version (IRCCM) INS+COLOS),solid fuel rocket
113,530kg," 07
",Type 93 Air-to-Ship Missile,Turbojet engine,Aircraft:,4m,Japan,,,,0.35m,"Inertial guidance and IR Imaging, GPS (ASM2b)",
121,15.7 kg," 07
",Type 64 MAT,"Two-tage olid rocket motor - firt tage rated at 130 kg tatic thrut, econd tage rated at 15 kg tatic thrut.",,1.02 m,Japan,,Hollow charge,1957,0.12 m,MCLOS system,
122,33 kg missile," 07
",Type 79 Jyu-MAT,,,1.5 m,Japan, 4.2 kg, 4.2 kg,,153 mm,Wire guided SACLOS,
124,Missile 12 kg System 140 kg[2]," 07
",Type 87 Chu-MAT,,,1 m,Japan,,,Late 1970s,,Laser guidance,
125,60 kg," 07
",Type 96 Multi-Purpose Missile System,Solid Fuel Rocket,,about 2.0 m,Japan,,,,about 16 cm,infrared homing based on Optical fiber Imaging infrared (IIR),
126,11.4 kg missile[3] 17.5 kg system[3]," 07
",Type 01 LMAT,Solid Fuel Rocket,"Unit cost$260,000 (reusable Command Launch Unit) (2001)",970 mm,Japan,,Tandem-charged HEAT warhead,1993,140 mm,"infrared homing, CCD[2]",
597,,Hypersonic glide vehicle of aircraft,DF-ZF,,,,National origin,,,,,,
1021,,,Klimov RD-500,,,,National origin,,,,,,
1045,,Target drone of aircraft,Radioplane BTT,,,,National origin,,,,,,
1046,,Target drone of aircraft,Northrop AQM-35,,,,National origin,,,,,,
1049,,Target drone of aircraft,Beechcraft MQM-61 Cardinal,,,,National origin,,,,,,
1050,,Target drone of aircraft,Globe KD6G Firefly,,,,National origin,,,,,,
1051,,Target drone of aircraft,North American MQM-42,,Launch of a MQM-42,,National origin,,,,,,
1053,,Target drone of aircraft,Nord CT41,,,,National origin,,,,,,
1054,,Reconnassiance drone of aircraft,Aerojet SD-2 Overseer,,,,National origin,,,,,,
1055,,Target drone of aircraft,Lockheed AQM-60 Kingfisher,,,,National origin,,,,,,
1058,,Aerial reconnaissance unmanned aerial vehicle of aircraft,Ryan AQM-91 Firefly,,,,National origin,,,,,,
1059,,Communications relay drone of aircraft,LTV XQM-93,,,,National origin,,,,,,
975,,Interceptor and reconnaissance aircraft of aircraft,Mikoyan-Gurevich MiG-25,,,,National origin,,,,,,
981,," numbers(1947–1955)
",Mikoyan MiG-29,,,,National origin,,,,,,
983,,X band Hybrid Passive electronically scanned array of aircraft,Irbis-E,,,,National origin,,,,,,
984,,"X-Band, L-Band active electronically scanned array of aircraft",Byelka (radar),,,,National origin,,,,,,
1006,,,Tumansky R-11,,,,National origin,,,,,,
1011,,,Klimov RD-33,,,,National origin,,,,,,
1064,,Target-designator drone of aircraft,Lockheed MQM-105 Aquila,,,,National origin,,,,,,
1066,,Unmanned target drone of aircraft,Beechcraft MQM-107 Streaker,,,,National origin,,,,,,
1067,,Unmanned aerial vehicle of aircraft,NSRDC BQM-108,,,,National origin,,,,,,
1072,,Anti-radar drone of aircraft,Boeing CQM-121 Pave Tiger,,,,National origin,,,,,,
1075,,Target drone of aircraft,AQM-128,,,,National origin,,,,,,
1078,,Reconnaissance UAV of aircraft,BQM-145 Peregrine,,,,National origin,,,,,,
1079,,Reconnaissance drone of aircraft,BQM-147 Dragon,,,,National origin,,,,,,
1082,,Miniature UAV of aircraft,AeroVironment FQM-151 Pointer,,,,National origin,,,,,,
1083,,Unmanned surveillance and reconnaissance aerial vehicle of aircraft,IAI RQ-5 Hunter,,,,National origin,,,,,,
1086,,Unmanned target drone of aircraft,Composite Engineering BQM-167 Skeeter,Compoite ering Inc.  Krato Defene & Security Solution,,,National origin,,,,,,
1097,,Reconnaissance drone of aircraft,Lockheed Aequare,,,,National origin,,,,,,
